1.   Jos menisin naimisiin, vaihtaisin miehen nimeen.
2.   Kait joku julkkis kirjallisuuden alalta
3.   Rakastuminen onneksi sekoittaa pään
4.   Intia, Nepal, Kiina, Amerikka
5.   Miljoona markkaa, kai sen vielä voi vaihtaa euroiksi?
6.   Mielenrauha
7.   Tyhjätasku
8.   Jaa-a!
9.   Kirje
10.   Se on katsojassa
11.   Tohelo
12.   Rehellisyys
13.   Ehkä laiskiaiseksi!
14.   Kaunista ja älykästä
15.   Kossua
16.   Auttamaan oikeaa kättä
17.   Reiluus?
18.   Rautaa
19.   Avioehto
20.   Aamukahvit
21.   Uskonto
22.   Kuunnella saman asian jankutusta
23.   Antaa anteeksi ja unohtaa
24.   Ei jatku itsekehuun
25.   Hellä kosketus
26.   Illallinen kotona
27.   Alastullessa
28.   Sydämen sivistystä
29.   On
30.   Lohi
31.   Kassakaappirosmo
32.   Kerran kuukaudessa
33.   En mihinkään
34.   Telkkarin
35.   Muumit
36.   Äkkiä sitten, ja kivuttomasti
37.   Kissa ja hiiri
38.   Hyvä tilannehuumori
39.   Kultun sängyssä
40.   Öh.. johonkin missä ei olisi talvea
41.   Gulp, ampumalla salaa
42.   Mustekynä
43.   Antiikin Kreikkaan
44.   v. 4000
45.   Toivo
46.   Suku
47.   Pieni pelko aina aloittaako se uudestaan, joutuuko itse mukaan ja ympäristön paheksunta
48.   Nadirin aaria Helmenkalastajista
49.   Ei sellaista ole
50.   No vaikka violetteja
51.   Bush
52.   Humalan tunne on kyllä mukava
53.   Jäävät auton alle
54.   Perhonen
55.   Kypros
56.   En mitään erikoista
57.   Tietsika
58.   Marimba
59.   Härkätaistelu
60.   Suru
61.   Ruoho
62.   Bussi
63.   Käteinen
64.   Miksi ei?
65.   Kylppärin seinän
66.   Itsesuojelu
67.   Vuosituhannen vaihtuminen
68.   Apinasta
69.   Halata
70.   Ei mikään, vaikka ne tulevat sieltä
71.   Paras paikka
72.   Hyvä turva
73.   Antibiootit
74.   Atomipommi
75.   Jos jokin on liian hyvää ollakseen totta, se usein myös on sitä
76.   Hiukan ruskettunut
77.   Uskon, onhan siitä esimerkkejä ympärillä
78.   Pasianssia
79.   Oikeasti ihminen, joka haluaa muille hyvää ja pystyy antamaan anteeksi, vaikka Äiti Teresa
80.   Ainahan ne unohtuu
81.   Kahvi
82.   En ole vielä kuullut
83.   Pettää luottamus
84.   Ostoslistan kotiin
85.   Häh? Kai niitä muutama tuli
86.   Kaiken keskellä
87.   Riippuu laadusta, mutta minttusuklaa maistuu ensin makealle, sitten kirpeän raikkaalle
88.   Käyttöväline
89.   Blues
90.   On sitä tullut pari kertaa valehdeltua..
91.   Sellainen josta ei jää kiinni
92.   Ei aavistustakaan
93.   Tasapaino
94.   Käynyt kuussa
95.   Pieni paikka, jossa ei ole mitään virikkeitä, ja johon ei juuri muuta ulkopuolelta ketään
96.   Pyöreä
97.   Helsingin saariston kesällä
98.   Vain muutaman
99.   Tämä oli ihan mukava
100. Lauantaina
